rank,Country,Year_Ticket_Average,Number_Diplomats,Country_Code
1,KUWAIT,246.2,9,KWT
2,EGYPT,139.6,24,EGY
3,CHAD,124.3,2,TCD
4,SUDAN,119.1,7,SDN
5,BULGARIA,117.5,6,BGR
6,MOZAMBIQUE,110.7,5,MOZ
7,ALBANIA,84.5,3,ALB
8,ANGOLA,81.7,9,AGO
9,SENEGAL,79.2,11,SEN
10,PAKISTAN,69.4,13,PAK
11,IVORY,67.1,10,CIV
12,ZAMBIA,60.4,9,ZMB
13,MOROCCO,60,17,MAR
14,ETHIOPIA,59.7,10,ETH
15,NIGERIA,58.6,25,NGA
16,SYRIA,52.7,12,SYR
17,BENIN,49.8,8,BEN
18,ZIMBABWE,45.6,14,ZWE
19,CAMEROON,43.6,8,CMR
20,MONTENEGRO,38,6,YUG
21,BAHRAIN,37.7,7,BHR
22,BURUNDI,37.7,3,BDI
23,MALI,37.4,5,MLI
24,INDONESIA,36.1,25,IDN
25,GUINEA,34.8,5,GNB
26,SOUTH,34,19,ZAF
27,SAUDI,33.8,12,SAU
28,BANGLADESH,33,8,BGD
29,BRAZIL,29.9,33,BRA
30,SIERRA,25.6,4,SLE
31,ALGERIA,25.2,13,DZA
32,THAILAND,24.5,13,THA
33,KAZAKHSTAN,21.1,9,KAZ
34,MAURITIUS,20.5,4,MUS
35,NIGER,19.9,3,NER
36,CZECH,18.9,7,CZE
37,LESOTHO,18.8,6,LSO
38,BOTSWANA,18.5,8,BWA
39,BHUTAN,18.4,5,BTN
40,SRI,17.2,5,LKA
41,CHILE,16.5,14,CHL
42,TUNISIA,16.5,11,TUN
43,NEPAL,16.5,6,NPL
44,IRAN,15.7,20,IRN
45,FIJI,15.5,3,FJI
46,ITALY,14.6,16,ITA
47,LIBERIA,13.5,6,LBR
48,MALAWI,13,6,MWI
49,PARAGUAY,13,6,PRY
50,RWANDA,12.9,3,RWA
51,UKRAINE,12.9,14,UKR
52,SPAIN,12.7,15,ESP
53,PHILIPPINES,11.5,20,PHL
54,GHANA,11.3,10,GHA
55,MAURITANIA,11.2,5,MRT
56,GUINEA B,10.8,10,GIN
57,ESTONIA,10.5,3,EST
58,MONGOLIA,10.2,5,MNG
59,ARMENIA,10.1,4,ARM
60,COSTA,10.1,19,CRI
61,COMOROS,9.9,3,COM
62,TOGO,9.9,5,TGO
63,VIETNAM,9.8,15,VNM
64,GEORGIA,9.7,8,GEO
65,CHINA,9.5,69,CHN
66,YEMEN,9.1,8,YEM
67,VENEZUELA,9.1,16,VEN
68,PORTUGAL,8.8,16,PRT
69,UZBEKISTAN,8.8,5,UZB
70,MADAGASCAR,8.7,8,MDG
71,TANZANIA,8.3,8,TZA
72,LIBYA,8.2,9,LBY
73,KENYA,7.7,17,KEN
74,CONGO,7.7,6,COG
75,CROATIA,6.5,9,HRV
76,DJIBOUTI,6.5,3,DJI
77,SLOVAK,6.4,12,SVK
78,FRANCE,6.1,29,FRA
79,INDIA,6.1,18,IND
80,LAOS,6.1,9,LAO
81,TURKMENISTAN,5.8,4,TKM
82,PAPUA,5.5,3,PNG
83,HONDURAS,5.4,6,HND
84,SLOVENIA,5.2,8,SVN
85,KYRGYZSTAN,5.2,5,KGZ
86,NICARAGUA,4.9,9,NIC
87,URUGUAY,4.4,11,URY
88,SWAZILAND,4.3,7,SWZ
89,TAJIKISTAN,4.3,4,TJK
90,NAMIBIA,4.2,11,NAM
91,MEXICO,4,19,MEX
92,ARGENTINA,3.9,19,ARG
93,SINGAPORE,3.5,6,SGP
94,ROMANIA,3.5,10,ROM
95,UGANDA,3.5,7,UGA
96,HUNGARY,3.3,8,HUN
97,MACEDONIA,3.3,4,MKD
98,BOLIVIA,3.1,9,BOL
99,PERU,3.1,9,PER
100,HAITI,3,9,HTI
101,JORDAN,2.9,9,JOR
102,BELARUS,2.7,8,BLR
103,BELGIUM,2.7,14,BEL
104,CYPRUS,2.5,11,CYP
105,GUYANA,2.3,5,GUY
106,AUSTRIA,2.2,21,AUT
107,GABON,2.2,8,GAB
108,RUSSIA,2,86,RUS
109,LITHUANIA,2,7,LTU
110,EL,1.7,10,SLV
111,POLAND,1.7,17,POL
112,GAMBIA,1.5,8,GMB
113,MALAYSIA,1.4,13,MYS
114,TRINIDAD,1.4,6,TTO
115,LEBANON,1.3,3,LBN
116,GERMANY,1,52,DEU
117,ERITREA,0.8,3,ERI
118,MOLDOVA,0.7,4,MDA
119,KOREA,0.4,33,KOR
120,DOMINICAN,0.1,22,DOM
121,FINLAND,0.1,18,FIN
122,GUATEMALA,0.1,9,GTM
123,NEW,0.1,8,NZL
124,SWITZERLAND,0.1,10,CHE
125,UNITED,0,31,GBR
126,NETHERLANDS,0,17,NLD
127,UNTED A,0,3,UAE
128,AUSTALIA,0,12,AUS
129,AZERBAIJAN,0,5,AZE
130,BURKINA,0,5,BFA
131,CENTRAL,0,3,CAF
132,CANADA,0,24,CAN
133,COLOMBIA,0,16,COL
134,DENMARK,0,17,DNK
135,ECUADOR,0,9,ECU
136,GREECE,0,21,GRC
137,IRELAND,0,10,IRL
138,ISRAEL,0,15,ISR
139,JAMAICA,0,9,JAM
140,JAPAN,0,47,JPN
141,LATVIA,0,5,LVA
142,NORWAY,0,12,NOR
143,OMAN,0,5,OMN
144,PANAMA,0,8,PAN
145,SWEDEN,0,19,SWE
146,TURKEY,0,25,TUR