Country Name,Catholic,Protestant,Jewish,Muslim,Hindu,Buddhist,Other affiliations,No religious affiliations
Argentina,78.17,1.49,1.69,0.1,0.1,0.13,4.25,14.06
Armenia,4.26,0.66,0.33,0,0,0,86.56,8.2
Australia,26.71,48.74,0.79,0.74,0.69,1.23,1.87,19.22
Austria,76.23,6.44,0.21,0,0,0,0.62,16.51
Azerbaijan,0.1,0.25,0.15,91.55,0,0,1.91,6.03
Bangladesh,0.99,0,0,85.86,12.82,0.2,0.13,0
Belarus,9.72,0.26,0.04,0.09,0.04,0,59.19,30.66
Belgium,70.57,1.07,0.26,0.39,0,0.03,1.1,26.58
Bosnia and Herzegovina,14.49,2.35,0.42,27.3,0,0,26.13,29.31
Brazil,70.32,6.73,0.03,0.07,0,0.14,10.84,11.87
United Kingdom,10.52,57.6,0.37,0.33,0.3,0.07,2.62,28.19
Bulgaria,0.67,0.91,0.05,9.23,0.14,0,39.01,50
Chile,77.84,7.93,0.23,0,0.18,0.05,8.29,5.5
Colombia,84.39,5.34,0.03,0,0,0,0,10.24
Croatia,84.31,0.34,0.42,1.19,0.08,0,1.19,12.47
Denmark,1.08,94.26,0.05,0.19,0.71,0.05,0.47,3.2
Dominica,59.47,1.7,0,0,1.7,0,13.35,23.79
Germany,11.96,18.21,0.09,0,0,0,0.43,69.31
Estonia,0.61,15.38,0,0.35,0,0.44,19.67,63.55
Finland,13.23,71.71,3.74,2.52,0,0,1.18,7.61
France,63.18,1.68,0.32,0.45,0.05,0.68,16.09,17.55
Georgia,1.48,0.08,1.32,3.96,0,0.19,86.83,6.14
Hungary,70.86,26.41,0.36,0.31,0,0,1.44,0.62
Iceland,0.44,98.07,0,0,0,0,1.5,0
India,2.1,1.28,0.04,8.47,83.72,0.66,1.61,2.1
Ireland,94.77,2.86,0,0.05,0,0,0.5,1.82
Italy,86.89,0.12,0.03,0,0,0.06,0.77,12.13
Japan,0.73,1.12,0.04,0,0.11,43.83,6.31,47.86
Latvia,23.75,21.76,0.4,0.33,0,0.07,23.95,29.74
Lithuania,83.28,1.6,0.25,0.06,0.06,0.12,6.48,8.14
Macedonia,0.71,0.1,0.31,24.31,0,0,46.69,27.87
Mexico,77.82,7.21,0.14,0.04,0.02,0.1,1.36,13.3
Moldova,0.41,0.2,0,0.1,0,0,84.13,15.16
Montenegro,8.47,0,0,21.61,0,0,64.41,5.51
N. Ireland,27.08,65.12,0,0,0,0,2.82,4.98
Netherlands,31.01,22.12,0,0.23,0.23,0.09,3.04,43.29
Norway,0.76,92.65,0.03,0.38,0.03,0.09,2.92,3.15
Peru,82.84,6.22,0,0.66,1.66,0.17,1.41,7.05
Poland,94.82,1.84,0,0,0.05,0.05,1.45,1.79
Portugal,77.13,0.34,0.08,0,0,0,1.01,21.43
Puerto Rico,56.91,7.86,0,0,8.29,0.35,7.86,18.74
Romania,2.27,3.45,0,0.18,0,0,88.21,5.89
Russia,5.11,1.07,0.07,1.62,0.01,0.79,25.9,65.42
South Africa,11.59,58.78,1.46,2,1.88,0.1,14.17,10.01
Serbia,6.33,0.87,0,5.78,0,0,68.88,18.13
Slovenia,70.19,0.88,0,1.28,0,0,1.92,25.74
Spain,84.7,0.53,0.03,0.06,0.01,0.04,0.6,14.03
Sweden,3.21,87.6,0.14,0.17,0.03,0.03,8.81,0
Switzerland,51.67,40.64,0.16,0.16,0.04,0.04,2.49,4.79
Turkey,0.4,0.12,0.2,95.57,0,0,2.37,1.35
Ukraine,6.17,0.33,0.11,0.22,0.07,0.07,59.52,33.49
Uruguay,43.06,1.22,0.1,0,0,0.1,8.78,46.73
United States,28.57,46.87,1.77,0.29,0.2,0.38,9.41,12.52
Venezuela,84.54,6.4,0,0,0.09,0.09,1.2,7.69
Germany,41.16,44.66,0.07,0.16,0.02,0.02,0.75,13.16